,ret_lag_1_cs,ret_lag_2_cs,ret_lag_3_cs,mom_2_6_cs,mom_2_12_cs,vol_3m_cs,vol_6m_cs,vol_12m_cs,price_ma_6_ratio_cs,price_ma_12_ratio_cs,log_mkt_cap_cs,turnover_cs,turnover_3m_cs,turnover_12m_cs,ret_fwd_1m
ret_lag_1_cs,1.0,-0.02332366107234757,-0.006101756788257846,-0.010149121431508102,-0.0023078578299940704,0.1344465892637674,0.09338941441174879,0.0637145514188074,0.5565776886277286,0.37192166752396405,0.01355097250153972,0.03220023053715417,0.019152741272950222,-0.0002200362951965308,-0.005568322680973177
ret_lag_2_cs,-0.02332366107234757,1.0,-0.024512066481594208,0.402974005539173,0.25584075439351756,0.1248461184256138,0.0843119877113666,0.057694231464665166,0.440362496799182,0.330570834574407,0.014116159058290109,0.026427096559495582,0.0296946409560283,0.0021008590050717118,-0.0014749369402550197
ret_lag_3_cs,-0.006101756788257846,-0.024512066481594208,1.0,0.3986439287826514,0.25234142014838007,0.12719038055259665,0.08126633328743785,0.05550152093090796,0.3353849457371134,0.2985124314706369,0.014614196000639634,0.029102150630347004,0.04093278301420228,0.0052509235001126555,-0.0012046196535073818
mom_2_6_cs,-0.010149121431508102,0.402974005539173,0.3986439287826514,1.0,0.6104180749087871,0.10420086221015973,0.18097762467530445,0.1332765894548127,0.5247632862876859,0.6262539080902255,0.03508961967094479,0.07325827440235633,0.08287575037886023,0.02567378441361812,0.002124633987455874
mom_2_12_cs,-0.0023078578299940704,0.25584075439351756,0.25234142014838007,0.6104180749087871,1.0,0.08877102679169482,0.13651138745726782,0.1964451561523971,0.34030640562394104,0.6183309063919515,0.05494150837449475,0.11328471205385812,0.12338102259051761,0.08892379613921278,-0.004359284127697455
vol_3m_cs,0.1344465892637674,0.1248461184256138,0.12719038055259665,0.10420086221015973,0.08877102679169482,1.0,0.7543070898555454,0.6072824253235476,0.010109871178435913,-0.0288998052672326,-0.11094793348665916,0.31052021384451034,0.3958131886245484,0.30619034140076135,0.03549025111211097
vol_6m_cs,0.09338941441174879,0.0843119877113666,0.08126633328743785,0.18097762467530445,0.13651138745726782,0.7543070898555454,1.0,0.8032248046321818,-0.020851753244295217,-0.049194072372012246,-0.1404330593847147,0.36617248228296945,0.45171052330201694,0.4073659082746559,0.04292688605086801
vol_12m_cs,0.0637145514188074,0.057694231464665166,0.05550152093090796,0.1332765894548127,0.1964451561523971,0.6072824253235476,0.8032248046321818,1.0,-0.03848168825768138,-0.07170679742843675,-0.15896867726128966,0.3803008464146645,0.4527307860753023,0.5114579764519708,0.04524452349153564
price_ma_6_ratio_cs,0.5565776886277286,0.440362496799182,0.3353849457371134,0.5247632862876859,0.34030640562394104,0.010109871178435913,-0.020851753244295217,-0.03848168825768138,1.0,0.8155791957521621,0.10699077495607305,-0.011507933567745264,-0.03462154837704345,-0.06227834676010138,-0.03689214885868201
price_ma_12_ratio_cs,0.37192166752396405,0.330570834574407,0.2985124314706369,0.6262539080902255,0.6183309063919515,-0.0288998052672326,-0.049194072372012246,-0.07170679742843675,0.8155791957521621,1.0,0.1444799318006632,0.0009932437525333939,-0.020226681689057675,-0.07395114014351854,-0.03614729170244993
log_mkt_cap_cs,0.01355097250153972,0.014116159058290109,0.014614196000639634,0.03508961967094479,0.05494150837449475,-0.11094793348665916,-0.1404330593847147,-0.15896867726128966,0.10699077495607305,0.1444799318006632,1.0,0.18086704002457415,0.1905863952100043,0.19512766744740323,-0.053181276053363306
turnover_cs,0.03220023053715417,0.026427096559495582,0.029102150630347004,0.07325827440235633,0.11328471205385812,0.31052021384451034,0.36617248228296945,0.3803008464146645,-0.011507933567745264,0.0009932437525333939,0.18086704002457415,1.0,0.8009685745423075,0.7249461778453927,0.012548823999083657
turnover_3m_cs,0.019152741272950222,0.0296946409560283,0.04093278301420228,0.08287575037886023,0.12338102259051761,0.3958131886245484,0.45171052330201694,0.4527307860753023,-0.03462154837704345,-0.020226681689057675,0.1905863952100043,0.8009685745423075,1.0,0.851338780272892,0.009441592949045294
turnover_12m_cs,-0.0002200362951965308,0.0021008590050717118,0.0052509235001126555,0.02567378441361812,0.08892379613921278,0.30619034140076135,0.4073659082746559,0.5114579764519708,-0.06227834676010138,-0.07395114014351854,0.19512766744740323,0.7249461778453927,0.851338780272892,1.0,0.011696466396214335
ret_fwd_1m,-0.005568322680973177,-0.0014749369402550197,-0.0012046196535073818,0.002124633987455874,-0.004359284127697455,0.03549025111211097,0.04292688605086801,0.04524452349153564,-0.03689214885868201,-0.03614729170244993,-0.053181276053363306,0.012548823999083657,0.009441592949045294,0.011696466396214335,1.0
