feature,coefficient
price_ma_6_ratio_cs,-0.013463196172264488
ret_lag_1_cs,0.007174246854195611
mom_2_6_cs,0.006528764763892798
log_mkt_cap_cs,-0.006478974797748182
ret_lag_2_cs,0.00404184742749572
turnover_3m_cs,-0.004001177470391923
vol_12m_cs,0.0034642426361656546
price_ma_12_ratio_cs,-0.00244161671970905
turnover_cs,0.0024233625393885417
ret_lag_3_cs,0.0023327965262788294
turnover_12m_cs,0.001284946289174604
vol_3m_cs,0.0006644724896345954
vol_6m_cs,0.0006443389587402484
mom_2_12_cs,-0.0004433999719985351
